id,artist_name,track_name,genre,year
4P9J3tJZr0WE404GFOraLt,Enrique Iglesias,I'm A Freak,pop,2013
4P9J3tJZr0WE404GFOraLt,Pitbull,I'm A Freak,pop,2013
0zON1kxmoecVWSW96r9RFA,Pink Martini,Sway,pop,2013
2VBluJiNj9bKohWX0dY1Lh,Paramore,Last Hope,pop,2013
2BnfMbmWbfqi7ac5y7GHXn,Lady Gaga,Gypsy,pop,2013
3hK9u5GThJt0pIm1Q6rZAt,Cristian Castro,Es Mejor Así (feat. Reik) - Primera Fila - Live Version,pop,2013
3hK9u5GThJt0pIm1Q6rZAt,Reik,Es Mejor Así (feat. Reik) - Primera Fila - Live Version,pop,2013
588ROs3NuPqlPSYpIuitKS,Traviezoz de la Zierra,Mi Pasado y Mi Presente,pop,2013
55nlbqqFVnSsArIeYSQlqx,John Legend,You & I (Nobody in the World),pop,2013
101iWa6yaODTI0RWewMK1B,JJ Lin,修煉愛情,pop,2013
3gn9F8Te6zvC3Priyw8ABC,La K'onga,Te perdiste mi amor,pop,2013
5k58Fbi1th2ITcaweRSbVq,Bruno Mars,Treasure - Sharam Radio Remix,pop,2013
70VukjWPu4TR2xQSRaEwlL,Lady Gaga,MANiCURE,pop,2013
7bjHNkZ1roAnXhv7Fr2jxn,T.O.P.,DOOM DADA,pop,2013
2ad8RivzdhuGwiRIldxGq5,Men Without Hats,The Safety Dance (Extended Club Mix),pop,2013
44f1TNdoQUgf3PUYraCTsH,G-DRAGON,Black (Feat. JENNIE of BLACKPINK),pop,2013
44f1TNdoQUgf3PUYraCTsH,JENNIE,Black (Feat. JENNIE of BLACKPINK),pop,2013
3jb7gznZVfqyMQGJo4hzG2,miss A,Hush,pop,2013
3ZsOYk34IQMrH4B1PBdofL,Justin Bieber,Boyfriend - Acoustic Version,pop,2013
4mQVHEjrnuUd7G5IVhSYTk,Justin Timberlake,Suit & Tie (feat. JAY Z) (feat. JAY-Z) - [Radio Edit],pop,2013
4mQVHEjrnuUd7G5IVhSYTk,JAY-Z,Suit & Tie (feat. JAY Z) (feat. JAY-Z) - [Radio Edit],pop,2013
3SReOm0IHFtzUGNEfpWH1V,Bruno Mars,Treasure - Robert DeLong Radio Edit,pop,2013
4nTWserD4pdou0yCPeW8Cv,Justin Bieber,Beauty And A Beat,pop,2013
03KArDFyVzAsuepFElPc1m,Miguel Bosé,Partisano,pop,2013
2GusQcB3m4nkLJRWAfcDNB,David Guetta,Titanium,pop,2013
2GusQcB3m4nkLJRWAfcDNB,Sia,Titanium,pop,2013
79UOYJgBRiVHQQ6HhHKROg,Scubba,Paradise City - Vibes Edition,pop,2013
3yTNnI2NCxZoNssPOAJ4Ed,Disko Warp,Less Than Three - Ricardo Autobahn Remix,pop,2013
3yTNnI2NCxZoNssPOAJ4Ed,Becky,Less Than Three - Ricardo Autobahn Remix,pop,2013
3yTNnI2NCxZoNssPOAJ4Ed,Ricardo Autobahn,Less Than Three - Ricardo Autobahn Remix,pop,2013
1PGCzcLCqV1yu9M3FmxKlu,Sukima Switch,ゴールデンタイムラバー,pop,2013
21hbZ0yllYOoXEbiFDYMSI,Anarbor,18,pop,2013
6s7elCMj9WoyxHs99l714w,Grupo Exterminador,La Pista Secreta,pop,2013
1bmtVglfmSQWfKjgPyERJ8,Little Mix,Move,pop,2013
0gMpKudmJ2ljDVAdIe9DmR,Lady Gaga,Mary Jane Holland,pop,2013
6d8XhbAw4IoKPnVD07Sb9b,Ariana Grande,You’ll Never Know,pop,2013
2KDN1DIh2kWesR9RIeDe25,Carlos Vives,Volví a Nacer (feat. J. Álvarez) - Urban Version,pop,2013
