artist_name,similar_artist_name
Stereo Dub,Groovy Waters
Stereo Dub,Urselle
Stereo Dub,Dual Sessions
Molly Nilsson,John Maus
Molly Nilsson,Geneva Jacuzzi
Molly Nilsson,Sally Dige
Molly Nilsson,Galatée
Molly Nilsson,Lust for Youth
GD X TAEYANG,G-DRAGON
GD X TAEYANG,Bigbang
GD X TAEYANG,GD&TOP
GD X TAEYANG,T.O.P
GD X TAEYANG,태양
Kodaline,Amber Run
Kodaline,Sleeping at Last
Kodaline,Vance Joy
Kodaline,The Script
Kodaline,Imagine Dragons
Aleks Syntek,Moenia
Aleks Syntek,Kalimba
Aleks Syntek,Miguel Bosé
Aleks Syntek,Timbiriche
Aleks Syntek,Alejandro Sanz
Vulfpeck,Vulfmon
Vulfpeck,The Fearless Flyers
Vulfpeck,Cory Wong
Vulfpeck,Snarky Puppy
Vulfpeck,Louis Cole
Celso Mendes,Beluga's Trio
Celso Mendes,Dinah York
Celso Mendes,Nova Bossa Ltd.
Celso Mendes,Brazil XXI
Celso Mendes,The Moleskins
Italobrothers,Manian
Italobrothers,Groove Coverage
Italobrothers,Master Blaster
Italobrothers,Empyre One
Italobrothers,Cascada
Laura Pausini,Tiziano Ferro
Laura Pausini,Giorgia
Laura Pausini,Eros Ramazzotti
Laura Pausini,Deborah Blando
Laura Pausini,Thalía
2NE1,박봄
2NE1,CL
2NE1,4minute
2NE1,SISTAR
2NE1,현아
Britney Spears,Christina Aguilera
Britney Spears,Madonna
Britney Spears,The Pussycat Dolls
Britney Spears,Kylie Minogue
Britney Spears,Hilary Duff
Kid Ink,Chris Brown
Kid Ink,Tyga
Kid Ink,Chris Brown & Tyga
Kid Ink,DJ Khaled
Kid Ink,Fetty Wap
Foxygen,Pond
Foxygen,Mystic Braves
Foxygen,Drugdealer
Foxygen,Allah-Las
Foxygen,Temples
Rameez,Monika Lewczuk
Rameez,Deepend feat. Graham Candy
Rameez,Michael Mind Project feat. Dante Thomas
Rameez,Jacinto
Rameez,Alan Jacques
Calibre 50,Gerardo Ortiz
Calibre 50,Julión Álvarez y su Norteño Banda
Calibre 50,Banda Los Recoditos
Calibre 50,El Komander
Calibre 50,Remmy Valenzuela
Asu,Albemuth
Asu,Empty old City
Asu,V.W.P
Asu,Myuk
Asu,Tayori
SEREBRO,Винтаж
SEREBRO,Nyusha
SEREBRO,Елена Темникова
SEREBRO,ВИА Гра
SEREBRO,Ольга Серябкина
Cristian Castro,Chayanne
Cristian Castro,Ricardo Montaner
Cristian Castro,Sin Bandera
Cristian Castro,Franco De Vita
Cristian Castro,Alejandro Sanz
Ricardo Autobahn,Victims of Science
Ricardo Autobahn,Colorpulse
Ricardo Autobahn,RevoLucian
Ricardo Autobahn,Funtastic Power!
Ricardo Autobahn,Viktor Antonov
Midiland,Mighty Monster
Midiland,René de Wael
Midiland,Mark Sandell & Neil Watson
Midiland,Masego a Don Toliver
Midiland,"Metro Boomin, Travis Scott a Young Thug"
BTS,Agust D
BTS,Jin
BTS,RM
BTS,j-hope
BTS,Jimin
Ruth B.,Alex & Sierra
Ruth B.,Lauren Spencer Smith
Ruth B.,Ali Gatie
Ruth B.,Sadie Jean
Ruth B.,Christina Perri
Maroon 5,OneRepublic
Maroon 5,Adam Levine
Maroon 5,The Script
Maroon 5,Train
Maroon 5,Rixton
Natascha,Index Meets Solimano
Natascha,Natalie Renoir
Natascha,"Morgan, G & Machines"
Natascha,Style Project
Natascha,Lalann
juanlu montoya,Antoñito Molina
juanlu montoya,RaulE
juanlu montoya,Sarayma
juanlu montoya,Nolasco
juanlu montoya,Shakira Martínez
El Suso,Fran Ocaña
El Suso,Sarayma
El Suso,Pedro El Flamenkito
El Suso,El biri
El Suso,aldeskuido
London Grammar,Haevn
London Grammar,Birdy
London Grammar,Freya Ridings
London Grammar,Broods
London Grammar,Låpsley
Carly Rae Jepsen,Robyn
Carly Rae Jepsen,Foxes
Carly Rae Jepsen,Charli xcx
Carly Rae Jepsen,Jessie Ware
Carly Rae Jepsen,Kim Petras
Jennifer Lopez,Ciara
Jennifer Lopez,The Pussycat Dolls
Jennifer Lopez,Christina Aguilera
Jennifer Lopez,Jessica Simpson
Jennifer Lopez,Nicole Scherzinger
Bigbang,G-DRAGON
Bigbang,GD&TOP
Bigbang,Daesung
Bigbang,T.O.P
Bigbang,태양
Miguel Bosé,Mecano
Miguel Bosé,Emmanuel
Miguel Bosé,Alejandro Sanz
Miguel Bosé,Aleks Syntek
Miguel Bosé,Ana Torroja
Ofenbach,Kungs
Ofenbach,Robin Schulz
Ofenbach,R3hab
Ofenbach,Lost Frequencies
Ofenbach,Felix Jaehn
Madonna,Kylie Minogue
Madonna,Britney Spears
Madonna,Janet Jackson
Madonna,Christina Aguilera
Madonna,Cher
All Time Low,Mayday Parade
All Time Low,State Champs
All Time Low,The Maine
All Time Low,Simple Creatures
All Time Low,We the Kings
The WAV.s,GoonRock
The WAV.s,"Enrique Iglesias, Pitbull, The WAV.s"
The WAV.s,Eric Amarillo
The WAV.s,"Usher, Lil Wayne, Enrique Iglesias"
The WAV.s,Dj Frank E
Leon Bridges,Khruangbin & Leon Bridges
Leon Bridges,The Teskey Brothers
Leon Bridges,Black Pumas
Leon Bridges,Michael Kiwanuka
Leon Bridges,Curtis Harding
Ulises Bueno,Rodrigo
Ulises Bueno,La K'onga
Ulises Bueno,Banda XXI
Ulises Bueno,Walter Olmos
Ulises Bueno,Ke Personajes
Silvestre Dangond,Kaleth Morales
Silvestre Dangond,Binomio De Oro
Silvestre Dangond,Diomedes Díaz
Silvestre Dangond,Los Inquietos
Silvestre Dangond,Binomio de Oro de América
Abel Pintos,Tan Bionica
Abel Pintos,Soledad
Abel Pintos,Los Nocheros
Abel Pintos,Axel
Abel Pintos,Los Manseros Santiagueños
Paramore,Hayley Williams
Paramore,Tonight Alive
Paramore,Fall Out Boy
